chr,pos,snp,cases,pvalue,ratio,gene,phenotype,gwas,number
chr6,20802863,rs2206734,486,5.695e-4,1.379,CDKAL1,Tension headache,"Body mass index, Ileal carcinoids",189
chr6,20679709,rs7756992,186,7.971e-4,1.449,CDKAL1,Abnormal weight gain,Type 2 diabetes,189
chr6,20679709,rs7756992,539,9.035e-4,1.263,CDKAL1,Polyneuropathy in diabetes,Type 2 diabetes,189
chr6,20657564,rs4712523,3122,0.001019,1.114,CDKAL1,Type 2 diabetes,Type 2 diabetes,189
chr6,20679709,rs7756992,153,0.001055,1.503,CDKAL1,Type 2 diabetic peripheral circulatory disorders,Type 2 diabetes,189
chr6,20679709,rs7756992,533,0.001285,1.254,CDKAL1,Diabetic retinopathy,Type 2 diabetes,189
chr6,20802863,rs2206734,310,0.001348,1.368,CDKAL1,Nephritis and nephropathy without mention of glomerulonephritis,"Body mass index, Ileal carcinoids",189
chr6,20657564,rs4712523,539,0.001495,1.24,CDKAL1,Polyneuropathy in diabetes,Type 2 diabetes,189
chr6,20657564,rs4712523,3231,0.001511,1.108,CDKAL1,Diabetes mellitus,Type 2 diabetes,189
chr6,20661250,rs7754840,3122,0.001687,1.109,CDKAL1,Type 2 diabetes,"Type 2 diabetes, Gestational diabetes",189
chr6,20802863,rs2206734,615,0.001803,1.257,CDKAL1,Type 1 diabetes,"Body mass index, Ileal carcinoids",189
chr6,20661250,rs7754840,539,0.002055,1.233,CDKAL1,Polyneuropathy in diabetes,"Type 2 diabetes, Gestational diabetes",189
chr6,20679709,rs7756992,644,0.002346,1.219,CDKAL1,Type 2 diabetic neuropathy,Type 2 diabetes,189
chr6,20661250,rs7754840,3231,0.002421,1.103,CDKAL1,Diabetes mellitus,"Type 2 diabetes, Gestational diabetes",189
chr6,20802863,rs2206734,533,0.003633,1.261,CDKAL1,Diabetic retinopathy,"Body mass index, Ileal carcinoids",189
chr6,20728731,rs6908425,132,0.003697,1.493,CDKAL1,End stage renal disease,Crohn's disease,189
chr6,20679709,rs7756992,1112,0.003717,1.162,CDKAL1,Type 2 diabetic ketoacidosis,Type 2 diabetes,189
chr6,20802863,rs2206734,4913,0.00625,1.115,CDKAL1,Pain in limb,"Body mass index, Ileal carcinoids",189
chr6,20802863,rs2206734,914,0.007017,1.199,CDKAL1,Dysuria,"Body mass index, Ileal carcinoids",189
chr6,20661250,rs7754840,161,0.007485,1.372,CDKAL1,Intestinal malabsorption,"Type 2 diabetes, Gestational diabetes",189
chr6,20657564,rs4712523,161,0.008067,1.368,CDKAL1,Intestinal malabsorption,Type 2 diabetes,189
chr6,20802863,rs2206734,221,0.00809,1.357,CDKAL1,Essential tremor,"Body mass index, Ileal carcinoids",189
chr6,20802863,rs2206734,389,0.008815,1.263,CDKAL1,Nephritis; nephrosis; renal sclerosis,"Body mass index, Ileal carcinoids",189
chr6,20802863,rs2206734,1449,0.008874,1.167,CDKAL1,Constipation,"Body mass index, Ileal carcinoids",189
chr6,20679709,rs7756992,147,0.008877,1.393,CDKAL1,"Eye infection, viral",Type 2 diabetes,189
chr6,20728731,rs6908425,118,0.008928,1.464,CDKAL1,Endometrial hyperplasia,Crohn's disease,189
chr6,20661250,rs7754840,353,0.009495,1.235,CDKAL1,Other acquired musculoskeletal deformity,"Type 2 diabetes, Gestational diabetes",189
chr6,20657564,rs4712523,353,0.009986,1.233,CDKAL1,Other acquired musculoskeletal deformity,Type 2 diabetes,189
chr6,20802863,rs2206734,949,0.01047,1.171,CDKAL1,Nonrheumatic mitral valve disorders,"Body mass index, Ileal carcinoids",189
chr6,20661250,rs7754840,122,0.01051,1.408,CDKAL1,Nerve plexus lesions,"Type 2 diabetes, Gestational diabetes",189
chr6,20657564,rs4712523,122,0.01091,1.405,CDKAL1,Nerve plexus lesions,Type 2 diabetes,189
chr6,20679709,rs7756992,437,0.01121,1.218,CDKAL1,Type 2 diabetic nephropathy,Type 2 diabetes,189
chr6,20802863,rs2206734,2209,0.01144,1.148,CDKAL1,Back & neck sprains,"Body mass index, Ileal carcinoids",189
chr6,20679709,rs7756992,238,0.0119,1.318,CDKAL1,Synoviopathy,Type 2 diabetes,189
chr6,20661250,rs7754840,295,0.01215,1.245,CDKAL1,Unspecified local infection of skin and subcutaneous tissue,"Type 2 diabetes, Gestational diabetes",189
chr6,20728731,rs6908425,127,0.01255,1.425,CDKAL1,Renal dialysis,Crohn's disease,189
chr6,20802863,rs2206734,2860,0.01273,1.109,CDKAL1,Anemia NOS,"Body mass index, Ileal carcinoids",189
chr6,20657564,rs4712523,295,0.0128,1.243,CDKAL1,Unspecified local infection of skin and subcutaneous tissue,Type 2 diabetes,189
chr6,20657564,rs4712523,644,0.01339,1.168,CDKAL1,Type 2 diabetic neuropathy,Type 2 diabetes,189
chr6,20679709,rs7756992,498,0.01341,1.2,CDKAL1,Type 2 diabetic retinopathy,Type 2 diabetes,189
chr6,20657564,rs4712523,236,0.01355,1.272,CDKAL1,Respiratory insufficiency,Type 2 diabetes,189
chr6,20657564,rs4712523,1014,0.01366,1.144,CDKAL1,Painful respiration,Type 2 diabetes,189
chr6,20802863,rs2206734,122,0.01412,1.462,CDKAL1,Other congenital anomalies of skin,"Body mass index, Ileal carcinoids",189
chr6,20661250,rs7754840,851,0.01417,1.141,CDKAL1,Hereditary and idiopathic peripheral neuropathy,"Type 2 diabetes, Gestational diabetes",189
chr6,20657564,rs4712523,851,0.01446,1.141,CDKAL1,Hereditary and idiopathic peripheral neuropathy,Type 2 diabetes,189
chr6,20728731,rs6908425,240,0.01456,1.402,CDKAL1,Nonsenile Cataract,Crohn's disease,189
chr6,20679709,rs7756992,310,0.01467,1.24,CDKAL1,Nephritis and nephropathy without mention of glomerulonephritis,Type 2 diabetes,189
chr6,20728731,rs6908425,6119,0.01538,1.117,CDKAL1,Cataract,Crohn's disease,189
chr6,20728731,rs6908425,174,0.01569,1.346,CDKAL1,Cancer of kidney and renal pelvis,Crohn's disease,189
chr6,20661250,rs7754840,486,0.01581,1.21,CDKAL1,Tension headache,"Type 2 diabetes, Gestational diabetes",189
chr6,20657564,rs4712523,156,0.01597,1.35,CDKAL1,Dupuytren's disease,Type 2 diabetes,189
chr6,20657564,rs4712523,486,0.01623,1.209,CDKAL1,Tension headache,Type 2 diabetes,189
chr6,20661250,rs7754840,129,0.01637,1.369,CDKAL1,Pallor and flushing,"Type 2 diabetes, Gestational diabetes",189
chr6,20657564,rs4712523,4014,0.01664,1.08,CDKAL1,Malaise and fatigue,Type 2 diabetes,189
chr6,20661250,rs7754840,4014,0.01672,1.08,CDKAL1,Malaise and fatigue,"Type 2 diabetes, Gestational diabetes",189
chr6,20657564,rs4712523,129,0.01677,1.367,CDKAL1,Pallor and flushing,Type 2 diabetes,189
chr6,20661250,rs7754840,236,0.01678,1.263,CDKAL1,Respiratory insufficiency,"Type 2 diabetes, Gestational diabetes",189
chr6,20728731,rs6908425,2761,0.01691,1.116,CDKAL1,Diverticulosis and diverticulitis,Crohn's disease,189
chr6,20802863,rs2206734,1447,0.01718,1.14,CDKAL1,Dermatophytosis of nail,"Body mass index, Ileal carcinoids",189
chr6,20661250,rs7754840,156,0.01736,1.346,CDKAL1,Dupuytren's disease,"Type 2 diabetes, Gestational diabetes",189
chr6,20679709,rs7756992,615,0.01805,1.168,CDKAL1,Type 1 diabetes,Type 2 diabetes,189
chr6,20661250,rs7754840,1014,0.01832,1.138,CDKAL1,Painful respiration,"Type 2 diabetes, Gestational diabetes",189
chr6,20802863,rs2206734,118,0.01841,1.442,CDKAL1,Type 1 diabetic neuropathy,"Body mass index, Ileal carcinoids",189
chr6,20802863,rs2206734,1382,0.01851,1.142,CDKAL1,Myocardial infarction,"Body mass index, Ileal carcinoids",189
chr6,20728731,rs6908425,1773,0.01886,1.146,CDKAL1,Elevated blood pressure reading,Crohn's disease,189
chr6,20657564,rs4712523,1549,0.01927,1.123,CDKAL1,Dry eyes,Type 2 diabetes,189
chr6,20679709,rs7756992,253,0.0195,1.255,CDKAL1,Nephritis and nephropathy in diseases classified elsewhere,Type 2 diabetes,189
chr6,20661250,rs7754840,644,0.01978,1.158,CDKAL1,Type 2 diabetic neuropathy,"Type 2 diabetes, Gestational diabetes",189
chr6,20728731,rs6908425,115,0.02057,1.41,CDKAL1,Phosphorus metabolism disorder,Crohn's disease,189
chr6,20728731,rs6908425,575,0.02062,1.292,CDKAL1,Postmenopausal hormone replacement,Crohn's disease,189
chr6,20802863,rs2206734,122,0.02085,1.421,CDKAL1,Nerve plexus lesions,"Body mass index, Ileal carcinoids",189
chr6,20679709,rs7756992,1447,0.02138,1.117,CDKAL1,Dermatophytosis of nail,Type 2 diabetes,189
chr6,20679709,rs7756992,4014,0.02183,1.08,CDKAL1,Malaise and fatigue,Type 2 diabetes,189
chr6,20661250,rs7754840,1549,0.02206,1.12,CDKAL1,Dry eyes,"Type 2 diabetes, Gestational diabetes",189
chr6,20802863,rs2206734,492,0.02214,1.207,CDKAL1,Anemia of chronic disease,"Body mass index, Ileal carcinoids",189
chr6,20657564,rs4712523,1112,0.02243,1.119,CDKAL1,Type 2 diabetic ketoacidosis,Type 2 diabetes,189
chr6,20679709,rs7756992,1661,0.02258,1.111,CDKAL1,Disturbance of skin sensation,Type 2 diabetes,189
chr6,20728731,rs6908425,172,0.02267,1.327,CDKAL1,Renal cell carcinoma,Crohn's disease,189
chr6,20679709,rs7756992,109,0.02273,1.39,CDKAL1,Pernicious anemia,Type 2 diabetes,189
chr6,20679709,rs7756992,161,0.02307,1.316,CDKAL1,Intestinal malabsorption,Type 2 diabetes,189
chr6,20679709,rs7756992,2209,0.02316,1.113,CDKAL1,Back & neck sprains,Type 2 diabetes,189
chr6,20728731,rs6908425,2483,0.02385,1.116,CDKAL1,Diverticulosis,Crohn's disease,189
chr6,20679709,rs7756992,481,0.02489,1.186,CDKAL1,Peripheral or central vertigo,Type 2 diabetes,189
chr6,20728731,rs6908425,241,0.02536,1.267,CDKAL1,Osteomyelitis,Crohn's disease,189
chr6,20802863,rs2206734,228,0.02575,1.308,CDKAL1,Joint/ligament sprain,"Body mass index, Ileal carcinoids",189
chr6,20679709,rs7756992,486,0.02605,1.197,CDKAL1,Tension headache,Type 2 diabetes,189
chr6,20657564,rs4712523,696,0.02682,1.142,CDKAL1,Abnormal heart sounds,Type 2 diabetes,189
chr6,20661250,rs7754840,696,0.02696,1.142,CDKAL1,Abnormal heart sounds,"Type 2 diabetes, Gestational diabetes",189
chr6,20802863,rs2206734,1581,0.02704,1.138,CDKAL1,Other specified cardiac dysrhythmias,"Body mass index, Ileal carcinoids",189
chr6,20679709,rs7756992,110,0.02746,1.369,CDKAL1,Crohn's disease,Type 2 diabetes,189
chr6,20802863,rs2206734,5116,0.02825,1.088,CDKAL1,Cardiac dysrhythmias,"Body mass index, Ileal carcinoids",189
chr6,20657564,rs4712523,148,0.02834,1.308,CDKAL1,Polyp of corpus uteri,Type 2 diabetes,189
chr6,20679709,rs7756992,118,0.02846,1.362,CDKAL1,Type 1 diabetic neuropathy,Type 2 diabetes,189
chr6,20661250,rs7754840,1112,0.02871,1.114,CDKAL1,Type 2 diabetic ketoacidosis,"Type 2 diabetes, Gestational diabetes",189
chr6,20802863,rs2206734,836,0.02952,1.161,CDKAL1,Unstable angina (intermediate coronary syndrome),"Body mass index, Ileal carcinoids",189
chr6,20679709,rs7756992,122,0.02953,1.35,CDKAL1,Other congenital anomalies of skin,Type 2 diabetes,189
chr6,20661250,rs7754840,701,0.029760000000000002,1.137,CDKAL1,Diseases of the oral soft tissues,"Type 2 diabetes, Gestational diabetes",189
chr6,20728731,rs6908425,2298,0.03001,1.095,CDKAL1,Neck pain,Crohn's disease,189
chr6,20657564,rs4712523,949,0.0308,1.12,CDKAL1,Nonrheumatic mitral valve disorders,Type 2 diabetes,189
chr6,20661250,rs7754840,147,0.03089,1.309,CDKAL1,"Eye infection, viral","Type 2 diabetes, Gestational diabetes",189
chr6,20657564,rs4712523,141,0.03109,1.304,CDKAL1,Shock,Type 2 diabetes,189
chr6,20728731,rs6908425,605,0.03212,1.163,CDKAL1,Septicemia,Crohn's disease,189
chr6,20802863,rs2206734,1989,0.03216,1.108,CDKAL1,Dermatophytosis,"Body mass index, Ileal carcinoids",189
chr6,20728731,rs6908425,325,0.03261,1.225,CDKAL1,Carcinoma in situ of skin,Crohn's disease,189
chr6,20679709,rs7756992,159,0.033,1.292,CDKAL1,Poisoning by hormones and synthetic substitutes,Type 2 diabetes,189
chr6,20657564,rs4712523,147,0.03312,1.304,CDKAL1,"Eye infection, viral",Type 2 diabetes,189
chr6,20802863,rs2206734,498,0.03379,1.195,CDKAL1,Type 2 diabetic retinopathy,"Body mass index, Ileal carcinoids",189
chr6,20802863,rs2206734,840,0.03388,1.148,CDKAL1,Cardiomegaly,"Body mass index, Ileal carcinoids",189
chr6,20661250,rs7754840,949,0.03435,1.118,CDKAL1,Nonrheumatic mitral valve disorders,"Type 2 diabetes, Gestational diabetes",189
chr6,20802863,rs2206734,1362,0.03435,1.129,CDKAL1,Angina pectoris,"Body mass index, Ileal carcinoids",189
chr6,20728731,rs6908425,192,0.03444,1.284,CDKAL1,Unspecified osteomyelitis,Crohn's disease,189
chr6,20657564,rs4712523,481,0.03477,1.167,CDKAL1,Peripheral or central vertigo,Type 2 diabetes,189
chr6,20661250,rs7754840,1252,0.03483,1.108,CDKAL1,Neurological disorders due to brain damage,"Type 2 diabetes, Gestational diabetes",189
chr6,20728731,rs6908425,769,0.03483,1.145,CDKAL1,Gout,Crohn's disease,189
chr6,20802863,rs2206734,1077,0.03634,1.151,CDKAL1,Other nonmalignant breast conditions,"Body mass index, Ileal carcinoids",189
chr6,20661250,rs7754840,148,0.03664,1.292,CDKAL1,Polyp of corpus uteri,"Type 2 diabetes, Gestational diabetes",189
chr6,20657564,rs4712523,701,0.03669,1.132,CDKAL1,Diseases of the oral soft tissues,Type 2 diabetes,189
chr6,20661250,rs7754840,481,0.03677,1.165,CDKAL1,Peripheral or central vertigo,"Type 2 diabetes, Gestational diabetes",189
chr6,20679709,rs7756992,221,0.03735,1.242,CDKAL1,Essential tremor,Type 2 diabetes,189
chr6,20679709,rs7756992,122,0.0375,1.333,CDKAL1,Nerve plexus lesions,Type 2 diabetes,189
chr6,20728731,rs6908425,162,0.03767,1.334,CDKAL1,Retinal hemorrhage/ischemia,Crohn's disease,189
chr6,20802863,rs2206734,1167,0.03793,1.127,CDKAL1,Hypotension,"Body mass index, Ileal carcinoids",189
chr6,20657564,rs4712523,253,0.03815,1.217,CDKAL1,Nephritis and nephropathy in diseases classified elsewhere,Type 2 diabetes,189
chr6,20728731,rs6908425,398,0.03893,1.193,CDKAL1,Decreased white blood cell count,Crohn's disease,189
chr6,20728731,rs6908425,2841,0.03893,1.084,CDKAL1,Benign neoplasm of colon,Crohn's disease,189
chr6,20657564,rs4712523,1481,0.03897,1.103,CDKAL1,Wheezing and painful respiration,Type 2 diabetes,189
chr6,20657564,rs4712523,1252,0.03908,1.106,CDKAL1,Neurological disorders due to brain damage,Type 2 diabetes,189
chr6,20661250,rs7754840,118,0.03921,1.332,CDKAL1,Type 1 diabetic neuropathy,"Type 2 diabetes, Gestational diabetes",189
chr6,20657564,rs4712523,243,0.03964,1.223,CDKAL1,Bacterial pneumonia,Type 2 diabetes,189
chr6,20728731,rs6908425,126,0.03969,1.345,CDKAL1,Congenital musculoskeletal deformities of spine,Crohn's disease,189
chr6,20661250,rs7754840,141,0.03999,1.288,CDKAL1,Shock,"Type 2 diabetes, Gestational diabetes",189
chr6,20657564,rs4712523,118,0.0401,1.33,CDKAL1,Type 1 diabetic neuropathy,Type 2 diabetes,189
chr6,20728731,rs6908425,279,0.0401,1.227,CDKAL1,Respiratory failure,Crohn's disease,189
chr6,20679709,rs7756992,2495,0.04054,1.096,CDKAL1,Enthesopathy,Type 2 diabetes,189
chr6,20728731,rs6908425,221,0.04075,1.258,CDKAL1,Nonspecific findings on examination of blood,Crohn's disease,189
chr6,20679709,rs7756992,4913,0.04083,1.073,CDKAL1,Pain in limb,Type 2 diabetes,189
chr6,20728731,rs6908425,5062,0.04084,1.074,CDKAL1,Abdominal pain,Crohn's disease,189
chr6,20661250,rs7754840,334,0.04172,1.184,CDKAL1,"Derangement of joint, non-traumatic","Type 2 diabetes, Gestational diabetes",189
chr6,20728731,rs6908425,255,0.04238,1.239,CDKAL1,Viral hepatitis,Crohn's disease,189
chr6,20728731,rs6908425,290,0.04272,1.219,CDKAL1,Sepsis and SIRS,Crohn's disease,189
chr6,20657564,rs4712523,838,0.04314,1.12,CDKAL1,Major depressive disorder,Type 2 diabetes,189
chr6,20679709,rs7756992,1382,0.04372,1.105,CDKAL1,Myocardial infarction,Type 2 diabetes,189
chr6,20661250,rs7754840,204,0.04372,1.241,CDKAL1,Abnormal sputum,"Type 2 diabetes, Gestational diabetes",189
chr6,20802863,rs2206734,1661,0.04445,1.113,CDKAL1,Disturbance of skin sensation,"Body mass index, Ileal carcinoids",189
chr6,20657564,rs4712523,334,0.04451,1.182,CDKAL1,"Derangement of joint, non-traumatic",Type 2 diabetes,189
chr6,20661250,rs7754840,153,0.04461,1.28,CDKAL1,Type 2 diabetic peripheral circulatory disorders,"Type 2 diabetes, Gestational diabetes",189
chr6,20661250,rs7754840,1481,0.04462,1.1,CDKAL1,Wheezing and painful respiration,"Type 2 diabetes, Gestational diabetes",189
chr6,20661250,rs7754840,253,0.04513,1.209,CDKAL1,Nephritis and nephropathy in diseases classified elsewhere,"Type 2 diabetes, Gestational diabetes",189
chr6,20661250,rs7754840,243,0.04527,1.217,CDKAL1,Bacterial pneumonia,"Type 2 diabetes, Gestational diabetes",189
chr6,20802863,rs2206734,1812,0.04545,1.101,CDKAL1,Heart valve disorders,"Body mass index, Ileal carcinoids",189
chr6,20802863,rs2206734,4014,0.04546,1.081,CDKAL1,Malaise and fatigue,"Body mass index, Ileal carcinoids",189
chr6,20679709,rs7756992,307,0.04562,1.196,CDKAL1,Althete's foot,Type 2 diabetes,189
chr6,20802863,rs2206734,588,0.04568,1.162,CDKAL1,Extrapyramidal disease and abnormal movement disorders,"Body mass index, Ileal carcinoids",189
chr6,20802863,rs2206734,280,0.0461,1.243,CDKAL1,Gastric ulcer,"Body mass index, Ileal carcinoids",189
chr6,20661250,rs7754840,744,0.04616,1.125,CDKAL1,Migraine,"Type 2 diabetes, Gestational diabetes",189
chr6,20728731,rs6908425,113,0.04624,1.349,CDKAL1,Trigeminal nerve disorders,Crohn's disease,189
chr6,20657564,rs4712523,153,0.04646,1.277,CDKAL1,Type 2 diabetic peripheral circulatory disorders,Type 2 diabetes,189
chr6,20679709,rs7756992,156,0.04658,1.294,CDKAL1,Dupuytren's disease,Type 2 diabetes,189
chr6,20802863,rs2206734,290,0.04686,1.235,CDKAL1,Abnormal thyroid function,"Body mass index, Ileal carcinoids",189
chr6,20679709,rs7756992,914,0.04697,1.125,CDKAL1,Dysuria,Type 2 diabetes,189
chr6,20679709,rs7756992,949,0.04722,1.114,CDKAL1,Nonrheumatic mitral valve disorders,Type 2 diabetes,189
chr6,20802863,rs2206734,551,0.04728,1.173,CDKAL1,Other forms of chronic heart disease,"Body mass index, Ileal carcinoids",189
chr6,20728731,rs6908425,366,0.04739,1.217,CDKAL1,Ectropion or entropion,Crohn's disease,189
chr6,20657564,rs4712523,204,0.04765,1.236,CDKAL1,Abnormal sputum,Type 2 diabetes,189
chr6,20802863,rs2206734,628,0.048,1.154,CDKAL1,Calculus of kidney,"Body mass index, Ileal carcinoids",189
chr6,20657564,rs4712523,310,0.04811,1.186,CDKAL1,Nephritis and nephropathy without mention of glomerulonephritis,Type 2 diabetes,189
chr6,20802863,rs2206734,206,0.04811,1.269,CDKAL1,Other specified diseases of hair and hair follicles,"Body mass index, Ileal carcinoids",189
chr6,20679709,rs7756992,402,0.04821,1.168,CDKAL1,Spasm of muscle,Type 2 diabetes,189
chr6,20679709,rs7756992,204,0.04823,1.239,CDKAL1,Other pulmonary inflamation or edema,Type 2 diabetes,189
chr6,20679709,rs7756992,628,0.04833,1.133,CDKAL1,Calculus of kidney,Type 2 diabetes,189
chr6,20802863,rs2206734,204,0.04841,1.281,CDKAL1,Paralytic ileus,"Body mass index, Ileal carcinoids",189
chr6,20657564,rs4712523,1447,0.04856,1.095,CDKAL1,Dermatophytosis of nail,Type 2 diabetes,189
chr6,20728731,rs6908425,621,0.04886,1.152,CDKAL1,Fracture of radius and ulna,Crohn's disease,189
chr6,20679709,rs7756992,228,0.04924,1.231,CDKAL1,Joint/ligament sprain,Type 2 diabetes,189
chr6,20679709,rs7756992,2860,0.04979,1.074,CDKAL1,Anemia NOS,Type 2 diabetes,189
chr6,20728731,rs6908425,226,0.04986,1.245,CDKAL1,Gouty arthropathy,Crohn's disease,189
chr6,32591353,rs2647044,118,3.384e-12,2.384,HLA-DQB1,Type 1 diabetic neuropathy,"Pulmonary function, Type 1 diabetes",188
chr6,32591353,rs2647044,127,7.507e-10,2.159,HLA-DQB1,Type 1 diabetic ketoacidosis,"Pulmonary function, Type 1 diabetes",188
chr6,32591353,rs2647044,129,1.248e-9,2.116,HLA-DQB1,Type 1 diabetic retinopathy,"Pulmonary function, Type 1 diabetes",188
chr6,32591353,rs2647044,615,2.001e-7,1.415,HLA-DQB1,Type 1 diabetes,"Pulmonary function, Type 1 diabetes",188
chr6,32591353,rs2647044,253,4.186e-6,1.569,HLA-DQB1,Nephritis and nephropathy in diseases classified elsewhere,"Pulmonary function, Type 1 diabetes",188
chr6,32591353,rs2647044,361,6.503e-6,1.479,HLA-DQB1,Thyrotoxicosis,"Pulmonary function, Type 1 diabetes",188
chr6,32591353,rs2647044,310,1.345e-5,1.485,HLA-DQB1,Nephritis and nephropathy without mention of glomerulonephritis,"Pulmonary function, Type 1 diabetes",188
chr6,32591353,rs2647044,533,2.554e-5,1.368,HLA-DQB1,Diabetic retinopathy,"Pulmonary function, Type 1 diabetes",188
chr6,32587302,rs6457617,398,4.538e-5,1.354,HLA-DQB1,Rheumatoid arthritis,"Graves' disease, Rheumatoid arthritis, Systemic sclerosis",188
